날짜-시간,이벤트유형,장비/상세,원본메시지
2025-07-08-16-47,ERROR,,ERROR 처리가 우선시 되어야
2025-07-08-16-55,ERROR,,{{@진호섭::9749}} OHT ERROR 가 어떤식으로 났을경으 dead lock으로 이어지는지 분석 및 자동화/제조 대응 방법 등이 준비 되어야 할것 같아 보입니다..
2025-07-08-17-06,OPEN,,7F AI Port 다 Open했습니다.
2025-07-08-17-35,ERROR,,김지훈 이천AMHS TL 2025/07/08 16:34:35 BV0323 호기 Error처리 관련 정체되고 있으니 참고 부탁드립니다. ========
2025-07-08-17-36,ERROR,,위에 ERROR관련 HUB  ROOM 밀리는걸까요?
2025-07-08-17-36,ERROR,,Bridge BV0323 E1911(Pickup Cycle - Load Presence ERROR 2) 발생 발생 시간 : 16 : 11분 완료 시간 : 16 : 20분
2025-07-08-17-58,CLOSE,,M14B 7F AI 전부 Close 했습니다.
2025-07-08-18-07,OPEN,,M14B 7F AI 전부 Open 했습니다.
2025-07-09-18-21,ERROR,,2층에서는 Error Que. 대체반송 처리 부탁드립니다.
2025-07-09-18-33,ERROR,,"2층에서는 Error Que. 대체반송 처리 부탁드립니다. (김병주,이천AMHS운영/TL,2025-07-09 18:21:09) ┖ 네 알겠습니다"
2025-07-09-18-35,OPEN,,"1,2,3호기 3층 In Port 를 Open/Close를 실시간(상황보면서) 해주면서 정체없이 해소를 유도중에 있습니다. 참고바랍니다."
2025-07-09-18-40,OPEN,,M16A 6F Rail Open 완료했습니다.
2025-07-09-19-21,OPEN,,3층 VHL을 풀기위해 Port in을 Close/Open을 하다보니 저희Que.가 Stock이 많아져서 EQ Load Time이 높습니다. (M16A) 아무래도 지금물량으로 봐서는 잘 해소가 될지 모르겠습니다. Time 참조바랍니다.
2025-07-09-19-59,CLOSE,,M14B 7F AI Close 대응 하고 있습니다.
2025-07-09-20-20,OPEN,,"3층 Port를 저희가 Open/Close를 지금도 실시간으로 하고있는중이였는데 유지만되고 Que. 많이 줄지는 않기도하고, 계속 할수없기때문에 Open상태로 두겠습니다.(2층과 논의함) 이작업을 안하면 3층 OHT가 정체가 시작될것으로 보입니다."
2025-07-09-20-25,CLOSE,,M14B 7F AI 전체 다 Close 했습니다.
2025-07-09-20-41,OPEN,,M14B 7F 전체 Port Open 했습니다.
2025-07-09-20-42,OPEN,,모니터링 하면서 M14B 7F AI Close/Open 대응 하겠습니다.
2025-07-09-20-48,OPEN,,3층 VHL정체가 또시작되어~ Open / Close 다시 시작하겠습니다.
2025-07-09-21-21,ERROR,-> CLOSE,"본환경에서 일단 3층 In을 Buffer상황대비 Port Open/Close를 수동으로 해줘야만 OHT가 다시 밀리지 않는다는게 확인이 되었고~ 그냥 두었을때 Test도 되었으니~ 진호섭TL님과 일단 야간까지는 계속 작업을 해주면서 가기로 하였습니다. (6층은 3층Port관리, 6층 Max Capa관리 및 6층ZT앞 정체관리, 2층은 Error Que. 대체반송처리) 대책마련이 되기를 기대하며 C조 2층6층인원 해당사항 참고바라며 이력은 여기에 계속남겨주세요~"
2025-07-09-21-31,CLOSE,,M14B 7F AI 전체 Port Close 했습니다.
2025-07-09-21-56,OPEN,,네 알겠습니다 Open상태 유지하겠습니다.
2025-07-09-21-58,OPEN,,M14A/B =>M16 방향 PORT 50% OPEN 해주세요
2025-07-09-21-59,OPEN,,{{@김종호::2439}}  {{@이상훈::15086}}  50% OPEN해주세요
2025-07-09-22-00,OPEN,,M14B 7F AI 50% Open  했습니다.
2025-07-09-22-01,OPEN,,M14A =>M16 방향 PORT 50% OPEN 했습니다.
2025-07-09-22-15,OPEN,,M14A M14B PORT OPEN 해 주세요
2025-07-09-22-16,OPEN,,M14B 7F AI Port 전체 Open 했습니다.
2025-07-09-22-16,OPEN,4AFC3201,"M14A 4AFC3201,4AFC3301 AI Port 전체 Open 했습니다."
2025-07-10-03-09,ERROR,,M14A Conveyor Error 및 특이사항 없습니다.
2025-07-10-16-16,ERROR,Error 발생으로,OHT Error 발생으로 조치 중 입니다.
2025-07-10-16-18,ERROR,Error 발생으로,"OHT Error 발생으로 조치 중 입니다. (정휘태,이천AMHS운영/TL,2025-07-10 16:16:39) ┖ 조치 완료 되었습니다."
2025-07-10-16-20,ERROR,,방금도 이 ERROR 인가요...?
2025-07-10-23-58,ERROR,Error 발생으로,M16A OHT Error 발생으로 조치중입니다.
2025-07-11-00-01,ERROR,,M16A OHT Error 조치하였습니다.
2025-07-13-08-11,ERROR,,{{@박형기::9353}} M16A 07:29~08:00 OHT Error 처리로 인해 OHT 이동에 Delay 발생되었습니다
2025-07-13-09-41,ERROR,Error 발생으로,안녕하세요 Error 발생으로 인한 Delay 내용 정정드립니다 MCP Log 확인 시 Error 발생 전부터 ZT로 가는 루트에 OHT가 몰려 그리드 락이 발생되어 OHT 이동에 DELAY 된것으로 확인됩니다
2025-07-13-12-24,ERROR,4ABLD122 -> CLOSE,안녕하세요 4ABLD122 ERROR 발생되어 AI CLOSE 했습니다.
2025-07-13-12-33,OPEN,4ABLD122,조치 완료 되어 4ABLD122 AI OPEN 했습니다.
2025-07-13-20-48,ERROR,4ABLD122 -> CLOSE,안녕하세요 4ABLD122 ERROR 발생되어 AI CLOSE 했습니다.
2025-07-13-20-58,OPEN,4ABLD122,조치 완료 되어 4ABLD122 AI OPEN 했습니다.
2025-07-15-16-51,CLOSE,6ABL0112,안녕하세요. 6ABL0112 Pod 반송 지연으로 AI Close 하겠습니다.
2025-07-15-17-20,OPEN,,조치 후 Open 했습니다.
2025-07-16-13-18,CLOSE,4ABLD111,"M14A 4ABLD111, 121, 131 호기 7F AI Port Close 하였습니다."
2025-07-16-13-19,OPEN,,순차적로 Conv Full 해소되면 다른 호기 AI Open Close대응 하겠습니다.
2025-07-16-13-32,OPEN,,M14B <-> M16 HUB 전체호기 분산 반송되어 현재 정체되는 Conv없어 AI Port 전체 Open 상태입니다.
2025-07-16-14-49,ERROR,4ABLD122 -> CLOSE,안녕하세요 4ABLD122 ERROR 발생되어 AI CLOSE 했습니다.
2025-07-16-14-53,ERROR,4ABLD122 -> OPEN,4ABLD122 ERROR 처리되어 AI OPEN 했습니다
2025-07-17-15-37,ERROR,4AFC3301,"4AFC3301_ZONE 20807 LD Motor Error  다발관련 긴급 T-bolt 작업이 필요 하여 긴급 요청드립니다. 작업예상시간은 10분 정도 정도 예상되며, M14 ↔ M16 양방향  2차수 조절 요청드립니다."
2025-07-18-17-12,ERROR,Error 발생으로,OHT Error 발생으로 조치중입니다.
2025-07-18-17-15,ERROR,,Error 조치 완료 되었습니다.
2025-07-18-22-28,ERROR,4ABLD131 -> CLOSE,"안녕하세요 4ABLD131 ERROR 발생하여 4F,7F AI CLOSE 하겠습니다."
2025-07-18-22-33,ERROR,4ABLD131 -> OPEN,"4ABLD131 ERROR 조치 완료되어 4F,7F AI OPEN 하겠습니다."
2025-07-20-04-28,CLOSE,4ABLD111,안녕하세요 M14 <-> M16 반송 정체로 ZT AI Close 로 대응하겠습니다. -. 4ABLD111호기 AI75 Close
2025-07-20-04-29,CLOSE,4ABLD112,4ABLD112호기 AI77 추가 Close 하겠습니다.
2025-07-20-04-29,CLOSE,4ABLD121,4ABLD121호기 AI75 추가 Close 하겠습니다.
2025-07-20-04-30,CLOSE,4ABLD122,4ABLD122호기 AI77 추가 Close 하겠습니다
2025-07-20-04-31,CLOSE,4ABLD131,4ABLD131호기 AI77 추가 Close 하겠습니다.
2025-07-20-04-33,CLOSE,4ABLD132,4ABLD132호기 AI77 추가 Close 하겠습니다.
2025-07-20-04-35,CLOSE,4ABLD131,"4ABLD131, 4ABLD132 호기 M14B 7F AI 전체 Close 했습니다."
2025-07-20-04-37,CLOSE,,전체호기 M14B 7F AI 전체 Close 했습니다.
2025-07-20-04-43,OPEN,,FOUP 적은 호기 부터 Open 진행 하겠습니다.
2025-07-20-04-44,OPEN,,"111호기 AI77, 132호기 AI77 Open했습니다."
2025-07-20-04-46,OPEN,,112호기 AI75 Open 했습니다
2025-07-20-04-47,OPEN,,112호기 AI77 Open 했습니다.
2025-07-20-04-48,OPEN,,"121호기 AI75, 132호기 AI75 Open했습니다."
2025-07-20-04-53,OPEN,,122호기 AI77 Open 하겠습니다.
2025-07-20-04-55,OPEN,,111호기 AI75 Open 했습니다.
2025-07-20-04-55,OPEN,,122호기 AI75 Open 했습니다
2025-07-20-04-55,CLOSE,,121호기 전체 Port 다시 Close 하겠습니다.
2025-07-20-04-56,CLOSE,,111호기 AI77 Close 하겠습니다.
2025-07-20-04-57,OPEN,4AFC3201,안녕하세요 4AFC3201 A_IN31~38 Open했습니다. (M14->M16 방향 IN Port)
2025-07-20-04-58,OPEN,,131호기 AI75 Open했습니다.
2025-07-20-05-19,OPEN,,현재 CNV Full 일시 Close Open 대응중입니다.
2025-07-20-05-23,OPEN,,전체 호기 AI Open 후 모니터링 중입니다.
2025-07-20-07-01,ERROR,Error 발생으로,Bridge OHT Error 발생으로 조치중입니다.
2025-07-20-07-04,ERROR,Error 발생으로,"Bridge OHT Error 발생으로 조치중입니다. (박성연,이천AMHS운영/TL,2025-07-20 07:01:14) ┖ 조치되었습니다."
2025-07-20-16-28,ERROR,4AFC3201,4AFC3201 M16-->M14 CVLH05호기 ERROR 발생으로 A_IN80~85까지 차단 했습니다.
2025-07-20-17-26,ERROR,4AFC3201,"4AFC3201 M16-->M14 CVLH05호기 ERROR 발생으로 A_IN80~85까지 차단 했습니다. (홍석찬,이천AMHS운영/TL,2025-07-20 16:28:07) ┖ 진행 상황 알수 있을까요?"
2025-07-20-19-26,ERROR,4AFC3201,안녕하세요 홍석찬 이천AMHS TL 2025/07/20 16:24:45 4AFC3201 M16-->M14 CVLH05호기 ERROR 발생으로 A_IN80~85까지 차단 했습니다.
2025-07-20-20-37,ERROR,4AFC3201 -> OPEN,4AFC3201 Error 조치되어 A_IN80~85 Port OPEN 하였습니다.
2025-07-21-07-17,ERROR,4ABLD122 Error 발생하여 -> CLOSE,"안녕하세요, 4ABLD122 Error 발생하여 4,7F AI Close 하겠습니다."
2025-07-21-07-25,ERROR,4ABLD122 -> OPEN,"4ABLD122 Error 처리 완료되어 4,7F AI Open 하겠습니다."
2025-07-21-12-54,CLOSE,4ABLD112,4ABLD112호기 Alarm 발생하여 AI Port 모두 Close 했습니다.
2025-07-21-13-32,ERROR,4ABLD112 -> OPEN,안녕하세요 4ABLD112 Error 조치 후 AI Open 하였습니다
2025-07-21-17-41,OPEN,,3F AI는  OPEN 해주세요
2025-07-21-17-41,OPEN,,"3F AI는  OPEN 해주세요 (진호섭,이천AMHS운영/TL,2025-07-21 17:41:08) ┖ 오픈햇습니다"
2025-07-21-17-42,OPEN,,{{@진호섭::9749}} M14B 3F는 오픈완료했습니다.
2025-07-21-18-09,OPEN,,M14 CON'V PORT OPEN
2025-07-21-18-10,OPEN,,M14B 7F AI 전부 OPEN 했습니다.
2025-07-21-18-11,OPEN,,M14A PORT OPEN 했습니다.
2025-07-22-04-58,CLOSE,6ABL6032,안녕하세요. 6ABL6032(3-2)호기 Err 발생으로 AI Close 하겠습니다.
2025-07-22-06-37,OPEN,,안녕하세요 M14 <-> M16 ZT 정체 발생하여 AI Close Open 대응하겠습니다.
2025-07-22-06-40,OPEN,,정체 해소되어 전체 AI Open 했습니다.
2025-07-22-08-29,ERROR,4AFC3301 Error 발생,안녕하세요 4AFC3301(북측 Conveyor) M16->M14 A_IN 80~84 쪽 Error 발생 관련 LD 교체 작업 예정입니다. 시간 : 10:00~11:00 HT-STOP  : 필요 Down : 4AFC3301(북측 Conveyor) M16->M14 A_IN 80~84 대응 : 4AFC3201(남측 Conveyor) M16->M14 A_IN MAX CAPA 상향
2025-07-22-10-13,ERROR,4AFC3301 Error 발생,"안녕하세요 4AFC3301(북측 Conveyor) M16->M14 A_IN 80~84 쪽 Error 발생 관련 LD 교체 작업 예정입니다. 시간 : 10:00~11:00 HT-STOP  : 필요 Down : 4AFC3301(북측 Conveyor) M16->M14 A_IN 80~84 대응 : 4AFC3201(남측 Conveyor) M16->M14 A_IN MAX CAPA 상향  (윤영찬,이천AMHS운영/TL,2025-07-22 08:29:19) ┖ 작업 진행하겠습니다."
2025-07-22-10-28,ERROR,4AFC3201 Error 발생으로,4AFC3201 A_IN80~85 쪽 Lift Error 발생으로 A_IN 잠시 Disable 하겠습니다.
2025-07-22-10-38,OPEN,4AFC3301,4AFC3301 작업 마무리해서 OPEN 후 4AFC3201 이어서 처리 하도록 하겠습니다
2025-07-22-10-46,OPEN,4AFC3201,4AFC3201(남측 Conveyor) M16->M14 A_IN 80~85 쪽 Sensor 문제로 LD 교체 작업 필요하여  4AFC3301(북측 Conveyor) Teaching 작업 및 Port open 완료 하는대로 이어서 진행 예정입니다
2025-07-22-10-46,OPEN,,작업 완료되어 port open 했습니다.
2025-07-22-10-48,CLOSE,,"121_AI75 Close ,AI77Close"
2025-07-22-10-51,CLOSE,,131_AI75 Close 했습니다.
2025-07-22-10-59,CLOSE,,"122_AI75, 77 Close했습니다."
2025-07-22-11-04,CLOSE,,131_AI77 Close했습니다.
2025-07-22-11-06,ERROR,4AFC3301 Error 발생으로,4AFC3301(북측 Conveyor) M16->M14 A_IN 80~84 쪽 Error 발생으로 MCS DISABLE 하였습니다.
2025-07-22-11-10,ERROR,4AFC3201,4AFC3201(남측 Conveyor) M16->M14 A_IN 임시 조치 하여 일단 살리겠습니다. 4AFC3301(북측 Conveyor) M16->M14 A_IN 80~84 쪽과 중복 Error 로 hub room 악화 감소
2025-07-22-11-38,OPEN,4ABLD121,"4ABLD121_AI75, 77 Open했습니다."
2025-07-22-11-38,OPEN,4ABLD131,4ABLD131 Open 했습니다.
2025-07-22-11-24,ERROR,4AFC3301 Error 발생관련,4AFC3301(북측 Conveyor) M16->M14 A_IN80~84 Error 발생관련 LD 재교체 작업 필요하며 HT-STOP 이 병행 되어야 합니다.
2025-07-22-11-38,OPEN,4ABLD122,4ABLD122 Open했습니다.
2025-07-22-12-04,CLOSE,4ABLD131,4ABLD131 7F Inport Close했습니다.
2025-07-22-21-21,ERROR,4AFC3201,4AFC3201 M16  -->M14 CVLH05 LIFT ERROR 발생하여  A_IN80~85 OFF LINE 진행 했습니다.
2025-07-22-21-25,ERROR,4AFC3201 -> OPEN,4AFC3201 M16  -->M14 CVLH05 LIFT ERROR 처리 되어 모두 OPEN 했습니다.
2025-07-22-21-40,ERROR,4AFC3201,4AFC3201 재발생 M16  -->M14 CVLH05 LIFT ERROR 발생하여  A_IN80~85 OFF LINE 진행 했습니다.
2025-07-22-22-04,ERROR,4AFC3201 -> OPEN,4AFC3201 M16  -->M14 CVLH05 LIFT ERROR 처리 되어 모두 OPEN 했습니다.
2025-07-22-23-20,CLOSE,,M14B ZT AI Close 대응하겠습니다.
2025-07-22-23-23,OPEN,,해소 확인되면 AI Open 하겠습니다
2025-07-22-23-27,OPEN,,M14B ZT AI 전체 Open 했습니다.
2025-07-22-23-38,OPEN,,M14B ZT OHT 정체로 AI Close Open 대응 하겠습니다
2025-07-22-23-44,OPEN,,전체호기 AI Open 했습니다.
2025-07-23-08-38,CLOSE,4ABLD112,"4ABLD112,122,132 7F AI Close 했습니다."
2025-07-23-08-38,CLOSE,,M16 ZT 3F PORT 임시 CLOSE하시죠
2025-07-23-08-42,ERROR,4AFC3201,4AFC3201 CVLH05 Error로 A_in80~85 차단 했습니다.
2025-07-23-08-54,ERROR,-> OPEN,Error 처리되어 Port 오픈 했습니다.
2025-07-23-09-03,OPEN,,M14A BAY / M14B 7F→ M16 가는 방향 OPEN 해주세요
2025-07-23-09-04,OPEN,,Conveyor Open 했습니다.
2025-07-23-09-05,OPEN,,M14B 7F Open했습니다.
2025-07-24-04-03,OPEN,4AFC3301,"안녕하세요 M14A Convyor 정체로 4AFC3301 A_IN41~52, 4AFC3201 A_IN 11 ~ 15 / 20 ~ 24막았습니다 (M14->M16 A_IN 50%) (이주성,이천AMHS운영/TL,2025-07-24 03:37:33) ┖ 정체 해소되어 OPEN했습니다."
2025-07-24-04-43,OPEN,4AFC3201,"4AFC3201_Lifter 5호기 Alarm 발생하여 4AFC3201 A_IN80~85 Port 차단하겠습니다. (양영석,이천AMHS운영/TL,2025-07-24 03:52:39) ┖ 조치 완료되어 PORT OPEN하겠습니다"
2025-07-24-05-54,OPEN,4AFC3201,조치 완료되어 PORT OPEN하겠습니다 4AFC3201 A_IN86~90 MAX CAPA 원복 부탁드리겠습니다
2025-07-24-05-55,OPEN,4AFC3201,"조치 완료되어 PORT OPEN하겠습니다 4AFC3201 A_IN86~90 MAX CAPA 원복 부탁드리겠습니다 (양영석,이천AMHS운영/TL,2025-07-24 05:54:02) ┖ 4AFC3201 A_IN86~90 MAX CAPA 원복하였습니다."
2025-07-24-06-00,OPEN,,M14B SFA ZT Que 소폭 감소중으로 7F 전체 AI Open 하였습니다.
2025-07-24-12-31,ERROR,4AFC3201 Error 발생으로,4AFC3201 Error 발생으로 A_in86~90(16->14) 차단했습니다.
2025-07-24-12-34,ERROR,-> OPEN,Error 조치되어 Port Open 했습니다.
2025-07-25-10-00,ERROR,4ABLD131 Error 발생하여 -> CLOSE,"4ABLD131 Error 발생하여 4,7F AI Close 하겠습니다."
2025-07-25-10-31,ERROR,Error발생하여,Bridge OHT Error발생하여 처리 중입니다.
2025-07-25-10-36,ERROR,Error발생하여,"Bridge OHT Error발생하여 처리 중입니다. (김지훈,이천AMHS운영/TL,2025-07-25 10:31:58) ┖ 처리 완료 되었습니다."
2025-07-25-10-36,ERROR,4ABLD131 -> OPEN,"4ABLD131 Error 조치되어 4,7F AI Open 했습니다."
2025-07-25-11-45,CLOSE,4ABLD131,4ABLD131 7F Auto In Port Close했습니다.
2025-07-25-11-52,CLOSE,4ABLD132,4ABLD132 7F Auto In Port Close했습니다.
2025-07-25-11-52,CLOSE,4ABLD121,4ABLD121 7F AI Close 했습니다.
2025-07-25-11-54,CLOSE,4ABLD111,4ABLD111 7F AI Close 했습니다.
2025-07-25-11-58,CLOSE,,M14B 7F AI 전체 Close 했습니다.
2025-07-25-12-09,OPEN,,M14B 7F Auto In Port 상태보고 하나씩 Open하겠습니다.
2025-07-25-12-11,OPEN,4ABLD111,"4ABLD111, 112 7F Open했습니다."
2025-07-25-12-16,OPEN,4ABLD121,"4ABLD121, 122 Open했습니다."
2025-07-25-12-24,OPEN,4ABLD131,"4ABLD131, 132 Open했습니다. M14B 7F Auto Inport 전체 Open 됐습니다."
2025-07-25-22-15,ERROR,4ABLD112 Error발생하여 -> CLOSE,"안녕하세요 4ABLD112호기 Error발생하여 4F, 7F AI Close하겠습니다"
2025-07-25-22-31,ERROR,4ABLD112 -> OPEN,4ABLD112호기 Error 조치 완료되어 4F/7F AI Port Open 하겠습니다.
2025-07-25-22-32,ERROR,Error발생하여,Bridge OHT Error발생하여 처리 중입니다.
2025-07-25-22-42,ERROR,Error발생하여,"Bridge OHT Error발생하여 처리 중입니다. (박성연,이천AMHS운영/TL,2025-07-25 22:32:49) ┖ 조치되었습니다."
2025-07-26-13-13,CLOSE,,7F MCS Close 대응하겠습니다.
2025-07-26-14-09,OPEN,,7F MCS Open했습니다.
2025-07-27-10-10,CLOSE,,SFA ZT 4F AO측 Delay 발생으로 AI Close하겠습니다.
2025-07-27-10-27,OPEN,,AI 모두 Open 했으나 10시 이후 M14B ↔ M16E Que 급증된 상태로 모니터링 중입니다.
2025-07-27-19-32,ERROR,4AFC3201,4AFC3201 CVLH05호기 Lift failed error 재발하여 4AFC3201 A_IN80~85 Down 하였습니다. 작업 완료되면 인폼 드리겠습니다.
2025-07-27-22-03,OPEN,,M14B -> M16 반송 간 4F Conv Full 상태 지속 발생으로 7F AI Port Open <-> Close 대응 중입니다.
2025-07-27-22-26,OPEN,,M14B -> M16 반송 간 4F AO Conv 전체 균등반송되어 7F AI Port 전체 Open 하겠습니다.
2025-07-28-00-33,OPEN,4AFC3201,4AFC3201 CVLH05호기 Lift failed 조치 완료 되어 A_IN80~85 OPEN 했습니다.
2025-07-28-12-50,OPEN,,안녕하세요 M14B -> M16 반송 정체로  ZT AI Close Open 대응하겠습니다.
2025-07-28-12-35,OPEN,,정체 해소 되어 전체 Port Open 후 Monitoring 진행 하겠습니다.
2025-07-28-17-06,OPEN,,{{@김종락::10041}} TL님  M14B->M16 방향 1대 더 open 부탁드립니다.
2025-07-28-17-11,OPEN,,M14B->M16 방향 전체 open 부탁드립니다.  {{@김종락::10041}} TL님
2025-07-28-17-13,OPEN,,open완료. 모니터링 할게요
2025-07-29-14-38,CLOSE,,M14B 131호기 AI 상단 Close 했습니다.
2025-07-29-14-42,OPEN,,M14B 131호기 AI 상단 다시 Open 했습니다.
2025-07-31-08-25,ERROR,4AFC3201,안녕하세요 4AFC3201(남측 Conveyor) Lift 5호기 Error 자주 발생하여 정밀 점검 및 조정을 진행하고자 하오니 참고 부탁드립니다. (( 일정 QUE 상회시 차수는 자동으로 변경되나 사전 미변경시 Dead Lock 및 추가 정체 발생으로 사전에 변경 요청 )) 드립니다.
2025-07-29-21-44,ERROR,4ABLD111 Error 발생되어 -> CLOSE,4ABLD111호기 Error 발생되어 4F / 7F AI Close했습니다.
2025-07-29-22-24,ERROR,4ABLD111 -> OPEN,4ABLD111호기 Error 조치되어 4F / 7F AI Open했습니다.
2025-07-29-23-12,ERROR,4AFC3201,4AFC3201 M14 --> M16 OUT PORT  FOUP이 거의 출고가 안되고 있습니다. ERROR 발생한거 있을까요?
2025-07-29-23-14,ERROR,Error 발생,M16 ZT는 현재 따로 Error 발생 되지 않았습니다 6F Out Port에도 Foup이 밀린다던지 하는 특이사항은 없어보입니다
2025-07-29-23-24,OPEN,4AFC3201,4AFC3201 M14--> M16 FOUP 정체 해소되어 전체 PORT OPEN 했습니다.
2025-07-30-17-18,CLOSE,,안녕하세요 SFA 호기별 AI Close 대응 하겠습니다.
2025-07-31-09-38,CLOSE,4AFC3201,4AFC3201_AI80~85 PORT MCS상에서 변경되지 않아 이재 시도 중입니다 MCS PORT CLOSE 부탁드립니다.
2025-07-31-09-40,CLOSE,,M16 MCS에서 차단되지 않아 이재 시도 중이었습니다. M16 MCS에서 CLOSE 하겠습니다.
2025-07-31-12-06,ERROR,4ABLD131 Error 발생으로 -> CLOSE,4ABLD131호기 Error 발생으로 AI Close 하겠습니다
2025-07-31-12-14,ERROR,4ABLD131 -> OPEN,4ABLD131호기 Error 조치되어 AI Open 하겠습니다
2025-07-31-17-08,ERROR,4ABLD111 -> CLOSE,4ABLD111호기 ERROR 발생으로 AI Close 했습니다.
2025-07-31-17-28,OPEN,4ABLD111,4ABLD111호기 조치되어 AI Open했습니다.
2025-08-01-07-28,ERROR,6ABL6011 -> CLOSE,6ABL6011 Error로 AI Close했습니다.
2025-08-01-07-42,ERROR,6ABL6011 -> OPEN,6ABL6011 Error 조치 완료되어 AI Open 했습니다.
2025-08-01-09-00,ERROR,4ABLD131 Error 발생으로 -> CLOSE,4ABLD131호기 Error 발생으로 AI Close 하겠습니다
2025-08-01-11-09,OPEN,4ABLD131,4ABLD131호기 AI Open 했습니다.
2025-08-01-11-14,CLOSE,4ABLD122,4ABLD122호기 불합리 해결 위해 AI Close 했습니다.
2025-08-01-11-15,OPEN,4ABLD122,4ABLD122호기 AI Open 했습니다.
2025-08-01-13-52,ERROR,4ABLD111,4ABLD111호기 Error 초치위해 14시에 HT Stop 1분정도 필요합니다. 진행해도 괜찮을까요?
2025-08-02-10-48,ERROR,4AFC3301,안녕하세요. 4AFC3301 Zone20623 Motor Error 다발생관련 긴급 LD 교체 진행하겠습니다. 예상시간 30분이며 작업관련 4AFC3301 M14->M16 Max capa 50% 변경하겠습니다.
2025-08-02-17-16,CLOSE,4ABLD122,4ABLD122_AI75 MCS Close했습니다.
2025-08-02-17-20,CLOSE,4ABLD121,4ABLD121 7F AI Close했습니다.
2025-08-02-17-25,OPEN,4ABLD122,4ABLD122_AI75 MCS Open했습니다.
2025-08-03-01-38,ERROR,6ABL6031 Error 발생으로 -> CLOSE,6ABL6031 Conv Error 발생으로 INPUT Close 했습니다.
2025-08-03-02-10,ERROR,-> OPEN,Error 처리 후 Open했습니다.
2025-08-03-02-22,ERROR,6ABL6031 -> CLOSE,6ABL6031 _AI322 Error Conv 점검을 위해 해당 Conv Close 진행하겠습니다.
2025-08-03-03-43,ERROR,6ABL6032 -> CLOSE,6ABL6032_AI322 Error Conv 확인 작업으로 AI Close 하겠습니다.
2025-08-03-16-09,CLOSE,4ABLD122,4ABLD122 7F AI Close했습니다.
2025-08-03-16-18,OPEN,4ALBLD122,4ALBLD122 AI Open했습니다.
2025-08-03-16-20,CLOSE,4ABLD112,4ABLD112 7F AI Close했습니다.
2025-08-03-16-22,OPEN,4ABLD112,4ABLD112 7F Open했습니다.
2025-08-04-03-21,ERROR,4AFC3301,안녕하세요 4AFC3301_ Zone[20627] Error 다발 관련 긴급 LD교체 작업 진행하겠습니다. 작업 영향도 : 북측 M14->M16 구간 Down (남측은 정상 반송) 작업시간 :  LD 교체 30분 (03:40~04:10) 작업 전후 인폼드리겠습니다.
2025-08-04-03-51,ERROR,,LD교체 전 T-bolt 작업 후 Error 재발시 LD교체 작업 진행하겠습다. T-bolt 고정작업 시간 10분 소요 예정입니다.
2025-08-04-03-55,OPEN,4AFC3301,교체작업 완료되어 4AFC3301 M14->M16 Port Open하였습니다.
2025-08-04-16-56,OPEN,,작업 완료되어 AO321 OPEN 했습니다. ※ AI322는 록타이트 경화 후 명일 Open 예정.
2025-08-04-17-50,CLOSE,,7F HUB Room 정체 발생으로 AI Close 하겠습니다
2025-08-04-17-48,OPEN,,조치 완료되어 AI 전체 Open 하였습니다.
2025-08-05-14-28,ERROR,Error 발생시,M14B-M16 Lifter Error 발생시 log 발생하지 않는 긴급한 문제가 있어서 8/5 금일 Lifter 전체 호기 재부팅 작업 예정입니다. 1대당 30분씩 소요 예정입니다.
2025-08-05-17-31,OPEN,6ABL6031,ZT 6ABL6031 AI322 경화 완료되어 OPEN 했습니댜.
2025-08-05-22-41,ERROR,4ABLD121 -> CLOSE,4ABLD121호기 ERROR 발생으로 AI Close 했습니다.
2025-08-05-22-47,OPEN,4ABLD121,4ABLD121호기 처리 완료 되어 AI Open 했습니다.
2025-08-06-19-26,ERROR,Error 발생으로,Bridge OHT Error 발생으로 처리중입니다.
2025-08-06-19-46,ERROR,Error 발생으로,"Bridge OHT Error 발생으로 처리중입니다. (최홍영,이천AMHS운영/TL,2025-08-06 19:26:13) ┖ 처리되었습니다"
2025-08-07-08-25,OPEN,,(( 안녕하세요 이천 AMHS 진호섭 TL 입니다.  M16↔M14 Bridge UTB 작업이 완료 되어 OPEN 공지 드립니다. )) 그동안 업무 도움 주신 모든  분들께  진심으로 감사 드립니다.
2025-08-07-15-30,ERROR,Error 발생으로,Bridge OHT Error 발생으로 처리중입니다.
2025-08-07-15-32,ERROR,Error 발생으로,"Bridge OHT Error 발생으로 처리중입니다. (최홍영,이천AMHS운영/TL,2025-08-07 15:30:59) ┖ 처리되었습니다."
2025-08-07-20-21,ERROR,4ABLD111 Error 발생으로 -> CLOSE,안녕하세요 4ABLD111호기 Error 발생으로 AI Close 하겠습니다.
2025-08-07-20-31,ERROR,4ABLD111 -> OPEN,4ABLD111호기 Error 조치 완료되어 AI Open 하겠습니다.
2025-08-09-05-37,ERROR,4ABLD122 Error 발생하여 -> CLOSE,4ABLD122호기 Error 발생하여 AI 모두 Close했습니다.
2025-08-09-05-47,ERROR,4ABLD122 -> OPEN,"4ABLD122호기 Error 조치되어 4,7F AI Open 했습니다."
2025-08-10-00-55,ERROR,4ABLD131 Error 발생되어 -> CLOSE,4ABLD131 호기 Error 발생되어 AI 모두 Close했습니다.
2025-08-10-01-22,OPEN,,조치되어 오픈했습니다.
